Date,Day_of_Week,Season,Holiday,Competitor_Price,Roomify_Price,Demand,Bookings,Occupancy_Percentage,Total_Rooms,Revenue,RevPAR
2022-01-20,Thursday,Low,No,136.31,146.02,80.1,52.2,40.1,200,7619.42,38.1
2022-01-21,Friday,Low,No,131.7,159.14,104.6,83.5,52.3,200,13281.29,66.41
2022-01-22,Saturday,Low,No,122.87,141.96,125.1,110.4,62.5,200,15678.08,78.39
2022-01-23,Sunday,Low,No,127.05,162.27,104.6,99.1,52.3,200,16075.64,80.38
2022-01-24,Monday,Low,No,124.47,145.45,68.1,47.9,34.1,200,6970.91,34.85
2022-01-25,Tuesday,Low,No,139.44,157.22,77.0,63.7,38.5,200,10011.61,50.06
2022-01-26,Wednesday,Low,No,113.77,143.59,66.9,51.5,33.4,200,7389.51,36.95
2022-01-27,Thursday,Low,No,132.58,160.08,112.7,97.8,56.4,200,15656.25,78.28
2022-01-28,Friday,Low,No,138.86,150.51,39.6,33.6,19.8,200,5051.86,25.26
2022-01-29,Saturday,Low,No,135.9,201.26,92.0,81.0,46.0,200,16296.06,81.48
2022-01-30,Sunday,Low,No,134.48,128.63,134.9,124.8,67.4,200,16048.5,80.24
2022-01-31,Monday,Low,No,146.87,133.81,108.1,76.7,54.0,200,10263.36,51.32
2022-02-01,Tuesday,Low,No,143.8,195.81,51.5,40.9,25.8,200,8001.98,40.01
2022-02-02,Wednesday,Low,No,136.49,141.93,48.0,41.2,24.0,200,5841.24,29.21
2022-02-03,Thursday,Low,No,119.07,161.47,53.1,53.3,26.5,200,8611.07,43.06
2022-02-04,Friday,Low,No,123.25,145.56,91.9,66.8,46.0,200,9726.62,48.63
2022-02-05,Saturday,Low,No,138.41,178.14,70.2,61.0,35.1,200,10861.53,54.31
2022-02-06,Sunday,Low,No,138.9,167.64,80.3,57.7,40.2,200,9665.63,48.33
2022-02-07,Monday,Low,No,142.83,157.94,82.5,73.0,41.2,200,11522.86,57.61
2022-02-08,Tuesday,Low,No,124.8,156.65,79.7,62.1,39.9,200,9724.63,48.62
2022-02-09,Wednesday,Low,No,162.99,161.48,56.2,51.4,28.1,200,8305.71,41.53
2022-02-10,Thursday,Low,No,120.38,167.74,93.7,72.0,46.9,200,12073.68,60.37
2022-02-11,Friday,Low,No,149.45,160.26,94.7,98.5,47.4,200,15779.4,78.9
2022-02-12,Saturday,Low,No,131.32,136.93,92.8,71.3,46.4,200,9761.44,48.81
2022-02-13,Sunday,Low,No,133.84,158.82,111.3,103.8,55.6,200,16482.18,82.41
2022-02-14,Monday,Low,No,135.2,181.07,66.6,74.7,33.3,200,13523.22,67.62
2022-02-15,Tuesday,Low,No,144.39,134.86,58.6,52.6,29.3,200,7096.34,35.48
2022-02-16,Wednesday,Low,No,131.65,166.28,83.2,70.1,41.6,200,11651.73,58.26
2022-02-17,Thursday,Low,No,122.3,121.7,71.1,66.5,35.5,200,8092.72,40.46
2022-02-18,Friday,Low,No,138.21,127.09,83.5,74.2,41.7,200,9424.65,47.12
2022-02-19,Saturday,Low,No,121.74,155.07,104.0,76.5,52.0,200,11861.2,59.31
2022-02-20,Sunday,Low,No,140.37,163.22,128.2,122.5,64.1,200,19989.31,99.95
2022-02-21,Monday,Low,No,114.33,133.24,86.3,77.8,43.2,200,10368.67,51.84
2022-02-22,Tuesday,Low,No,142.73,199.82,81.8,78.8,40.9,200,15752.71,78.76
2022-02-23,Wednesday,Low,No,149.31,165.03,71.2,65.9,35.6,200,10874.4,54.37
2022-02-24,Thursday,Low,No,123.41,147.26,65.7,56.3,32.8,200,8297.25,41.49
2022-02-25,Friday,Low,No,169.72,152.75,93.7,64.6,46.9,200,9860.06,49.3
2022-02-26,Saturday,Low,No,127.92,173.78,101.2,75.1,50.6,200,13058.32,65.29
2022-02-27,Sunday,Low,No,124.27,165.59,86.2,75.2,43.1,200,12444.82,62.22
2022-02-28,Monday,Low,No,135.68,138.97,122.3,111.7,61.1,200,15523.55,77.62
2022-03-01,Tuesday,Low,No,104.62,155.73,55.0,51.5,27.5,200,8016.39,40.08
2022-03-02,Wednesday,Low,No,123.11,149.71,84.9,79.5,42.5,200,11906.04,59.53
2022-03-03,Thursday,Low,No,117.0,145.31,64.7,50.8,32.3,200,7376.27,36.88
2022-03-04,Friday,Low,No,161.48,160.1,54.8,51.6,27.4,200,8260.06,41.3
2022-03-05,Saturday,Low,No,166.83,172.65,80.4,64.5,40.2,200,11132.37,55.66
2022-03-06,Sunday,Low,No,154.0,137.85,120.9,112.1,60.4,200,15453.77,77.27
2022-03-07,Monday,Low,No,121.1,150.81,9.3,6.9,4.6,200,1046.87,5.23
2022-03-08,Tuesday,Low,No,131.21,127.04,112.6,79.6,56.3,200,10117.9,50.59
2022-03-09,Wednesday,Low,No,128.4,154.61,103.9,73.4,52.0,200,11350.94,56.75
2022-03-10,Thursday,Low,No,152.45,152.2,60.4,54.1,30.2,200,8234.89,41.17
2022-03-11,Friday,Low,No,137.99,140.0,81.0,65.8,40.5,200,9207.05,46.04
2022-03-12,Saturday,Low,No,136.7,165.24,136.7,99.3,68.4,200,16404.97,82.02
2022-03-13,Sunday,Low,No,167.0,150.3,109.0,99.0,54.5,200,14883.84,74.42
2022-03-14,Monday,Low,No,139.21,139.55,75.8,60.7,37.9,200,8467.29,42.34
2022-03-15,Tuesday,Low,No,126.16,168.99,79.0,61.7,39.5,200,10421.71,52.11
2022-03-16,Wednesday,Medium,No,178.49,190.15,133.9,122.3,67.0,200,23245.78,116.23
2022-03-17,Thursday,Medium,No,152.57,172.8,130.2,118.6,65.1,200,20492.18,102.46
2022-03-18,Friday,Medium,No,164.69,186.35,140.8,111.4,70.4,200,20752.54,103.76
2022-03-19,Saturday,Medium,No,173.21,179.96,161.7,155.2,80.8,200,27928.34,139.64
2022-03-20,Sunday,Medium,No,177.38,200.27,187.6,159.9,93.8,200,32015.03,160.08
2022-03-21,Monday,Medium,No,175.23,177.79,126.0,105.4,63.0,200,18743.76,93.72
2022-03-22,Tuesday,Medium,No,166.45,195.9,97.3,103.0,48.6,200,20183.63,100.92
2022-03-23,Wednesday,Medium,No,149.91,159.72,140.8,130.8,70.4,200,20896.21,104.48
2022-03-24,Thursday,Medium,No,174.36,196.57,115.2,87.6,57.6,200,17211.63,86.06
2022-03-25,Friday,Medium,No,166.14,170.46,138.6,115.7,69.3,200,19729.3,98.65
2022-03-26,Saturday,Medium,No,152.62,177.57,168.0,133.3,84.0,200,23678.1,118.39
2022-03-27,Sunday,Medium,No,152.67,188.87,160.9,128.6,80.5,200,24297.71,121.49
2022-03-28,Monday,Medium,No,157.93,188.64,84.0,59.6,42.0,200,11243.94,56.22
2022-03-29,Tuesday,Medium,No,154.22,179.73,120.3,120.0,60.1,200,21561.9,107.81
2022-03-30,Wednesday,Medium,No,177.86,180.8,119.0,89.2,59.5,200,16134.51,80.67
2022-03-31,Thursday,Medium,No,164.72,178.23,123.5,94.8,61.8,200,16888.95,84.44
2022-04-01,Friday,Medium,No,172.79,214.65,109.1,97.1,54.6,200,20847.25,104.24
2022-04-02,Saturday,Medium,No,175.35,175.98,172.3,146.7,86.2,200,25811.08,129.06
2022-04-03,Sunday,Medium,No,166.47,168.54,167.9,151.0,83.9,200,25456.63,127.28
2022-04-04,Monday,Medium,No,186.77,203.19,159.9,123.6,79.9,200,25122.72,125.61
2022-04-05,Tuesday,Medium,No,178.08,187.67,161.9,124.5,80.9,200,23363.99,116.82
2022-04-06,Wednesday,Medium,No,152.4,172.01,72.9,58.1,36.4,200,9998.14,49.99
2022-04-07,Thursday,Medium,No,153.61,187.01,119.0,123.5,59.5,200,23092.78,115.46
2022-04-08,Friday,Medium,No,179.26,172.46,102.0,91.7,51.0,200,15822.71,79.11
2022-04-09,Saturday,Medium,No,145.2,203.28,171.4,137.7,85.7,200,27985.18,139.93
2022-04-10,Sunday,Medium,No,139.3,195.02,145.5,141.7,72.8,200,27641.39,138.21
2022-04-11,Monday,Medium,No,141.08,172.01,112.2,95.9,56.1,200,16497.39,82.49
2022-04-12,Tuesday,Medium,No,158.25,196.46,90.0,75.2,45.0,200,14769.94,73.85
2022-04-13,Wednesday,Medium,No,166.8,194.29,128.3,94.6,64.2,200,18384.82,91.92
2022-04-14,Thursday,Medium,No,141.99,209.55,109.5,84.9,54.8,200,17789.25,88.95
2022-04-15,Friday,Medium,No,188.27,186.31,143.6,123.0,71.8,200,22919.82,114.6
2022-04-16,Saturday,Medium,No,195.91,219.11,157.1,148.8,78.5,200,32593.08,162.97
2022-04-17,Sunday,Medium,No,174.68,211.37,138.1,126.9,69.1,200,26817.5,134.09
2022-04-18,Monday,Medium,No,180.88,148.83,96.3,62.2,48.2,200,9262.84,46.31
2022-04-19,Tuesday,Medium,No,160.96,198.35,141.7,121.5,70.8,200,24095.91,120.48
2022-04-20,Wednesday,Medium,No,189.43,156.4,85.9,72.6,43.0,200,11349.04,56.75
2022-04-21,Thursday,Medium,No,170.76,183.35,76.0,63.9,38.0,200,11719.66,58.6
2022-04-22,Friday,Medium,No,145.43,197.39,114.5,86.5,57.2,200,17082.54,85.41
2022-04-23,Saturday,Medium,No,157.29,162.82,165.0,156.0,82.5,200,25397.24,126.99
2022-04-24,Sunday,Medium,No,150.21,194.08,142.7,110.0,71.3,200,21341.66,106.71
2022-04-25,Monday,Medium,No,163.39,163.3,108.9,79.5,54.5,200,12988.47,64.94
2022-04-26,Tuesday,Medium,No,194.47,184.71,106.0,92.4,53.0,200,17061.77,85.31
2022-04-27,Wednesday,Medium,No,163.32,179.58,128.7,119.1,64.3,200,21395.62,106.98
2022-04-28,Thursday,Medium,No,157.04,172.48,111.0,68.8,55.5,200,11862.29,59.31
2022-04-29,Friday,Medium,No,142.27,211.34,135.4,111.7,67.7,200,23614.28,118.07
2022-04-30,Saturday,Medium,No,173.65,190.23,224.8,216.2,100.0,200,41129.63,205.65
2022-05-01,Sunday,Medium,No,163.08,164.89,135.3,117.8,67.7,200,19418.77,97.09
2022-05-02,Monday,Medium,No,153.65,155.55,106.6,79.1,53.3,200,12304.09,61.52
2022-05-03,Tuesday,Medium,No,190.31,201.63,117.7,117.5,58.8,200,23684.2,118.42
2022-05-04,Wednesday,Medium,No,166.16,166.77,150.3,135.9,75.2,200,22661.54,113.31
2022-05-05,Thursday,Medium,No,149.44,180.19,95.1,67.7,47.5,200,12193.68,60.97
2022-05-06,Friday,Medium,No,178.89,222.19,83.3,75.5,41.7,200,16777.21,83.89
2022-05-07,Saturday,Medium,No,155.24,174.26,150.0,114.5,75.0,200,19956.56,99.78
2022-05-08,Sunday,Medium,No,165.73,167.38,172.9,146.1,86.5,200,24454.66,122.27
2022-05-09,Monday,Medium,No,161.42,165.85,107.5,99.5,53.7,200,16497.5,82.49
2022-05-10,Tuesday,Medium,No,172.51,164.45,122.0,112.9,61.0,200,18558.81,92.79
2022-05-11,Wednesday,Medium,No,139.96,194.87,92.6,84.0,46.3,200,16371.89,81.86
2022-05-12,Thursday,Medium,No,153.55,147.9,87.4,74.8,43.7,200,11056.04,55.28
2022-05-13,Friday,Medium,No,168.9,165.91,132.8,90.8,66.4,200,15064.26,75.32
2022-05-14,Saturday,Medium,No,164.01,159.78,155.0,132.5,77.5,200,21163.34,105.82
2022-05-15,Sunday,Medium,No,152.09,176.31,180.1,142.7,90.1,200,25158.65,125.79
2022-05-16,Monday,Medium,No,177.54,161.41,130.6,129.8,65.3,200,20955.81,104.78
2022-05-17,Tuesday,Medium,No,127.93,168.06,120.2,99.8,60.1,200,16767.2,83.84
2022-05-18,Wednesday,Medium,No,170.57,171.92,121.4,101.3,60.7,200,17422.17,87.11
2022-05-19,Thursday,Medium,No,182.52,189.09,125.5,101.5,62.7,200,19186.84,95.93
2022-05-20,Friday,Medium,No,157.69,175.35,123.9,100.1,61.9,200,17546.09,87.73
2022-05-21,Saturday,Medium,No,169.35,225.51,168.7,137.9,84.4,200,31097.91,155.49
2022-05-22,Sunday,Medium,No,183.02,175.84,127.2,95.3,63.6,200,16761.85,83.81
2022-05-23,Monday,Medium,No,136.94,176.97,109.8,111.8,54.9,200,19782.11,98.91
2022-05-24,Tuesday,Medium,No,169.9,179.62,134.5,84.6,67.3,200,15196.4,75.98
2022-05-25,Wednesday,Medium,No,168.53,199.42,83.8,80.8,41.9,200,16121.89,80.61
2022-05-26,Thursday,Medium,No,170.08,175.69,131.5,141.6,65.7,200,24878.09,124.39
2022-05-27,Friday,Medium,No,167.73,188.96,106.3,81.3,53.1,200,15360.26,76.8
2022-05-28,Saturday,Medium,No,177.46,166.88,169.4,135.9,84.7,200,22682.7,113.41
2022-05-29,Sunday,Medium,No,172.18,190.67,183.3,146.5,91.7,200,27931.26,139.66
2022-05-30,Monday,Medium,Yes,160.95,164.42,181.9,161.5,90.9,200,26546.8,132.73
2022-05-31,Tuesday,Medium,No,176.35,165.56,137.4,135.4,68.7,200,22417.82,112.09
2022-06-01,Wednesday,High,No,201.2,237.54,154.8,112.3,77.4,200,26673.57,133.37
2022-06-02,Thursday,High,No,168.32,229.92,173.3,146.4,86.7,200,33651.74,168.26
2022-06-03,Friday,High,No,199.2,177.49,228.9,197.5,100.0,200,35060.68,175.3
2022-06-04,Saturday,High,No,196.64,214.52,254.7,222.2,100.0,200,47673.76,238.37
2022-06-05,Sunday,High,No,183.14,209.43,278.8,274.5,100.0,200,57484.19,287.42
2022-06-06,Monday,High,No,218.9,189.78,160.2,134.2,80.1,200,25460.59,127.3
2022-06-07,Tuesday,High,No,195.84,221.88,139.0,139.4,69.5,200,30925.92,154.63
2022-06-08,Wednesday,High,No,192.63,191.46,159.8,109.4,79.9,200,20937.67,104.69
2022-06-09,Thursday,High,No,207.35,201.47,154.2,111.1,77.1,200,22383.0,111.92
2022-06-10,Friday,High,No,189.96,233.38,162.5,113.7,81.2,200,26529.58,132.65
2022-06-11,Saturday,High,No,191.31,194.55,196.8,166.2,98.4,200,32333.27,161.67
2022-06-12,Sunday,High,No,191.54,213.92,280.1,269.7,100.0,200,57691.26,288.46
2022-06-13,Monday,High,No,190.97,177.87,231.5,198.1,100.0,200,35239.12,176.2
2022-06-14,Tuesday,High,No,195.21,199.52,182.8,152.7,91.4,200,30469.49,152.35
2022-06-15,Wednesday,High,No,186.4,189.06,178.6,142.1,89.3,200,26862.46,134.31
2022-06-16,Thursday,High,No,184.31,202.13,169.7,169.7,84.8,200,34310.68,171.55
2022-06-17,Friday,High,No,155.24,221.83,181.8,116.8,90.9,200,25911.44,129.56
2022-06-18,Saturday,High,No,189.86,192.57,222.8,172.0,100.0,200,33127.47,165.64
2022-06-19,Sunday,High,No,178.34,235.05,246.7,241.0,100.0,200,56655.62,283.28
2022-06-20,Monday,High,No,205.83,177.42,169.5,152.4,84.8,200,27034.84,135.17
2022-06-21,Tuesday,High,No,176.67,214.26,163.7,133.0,81.9,200,28499.11,142.5
2022-06-22,Wednesday,High,No,205.66,208.89,171.9,166.1,86.0,200,34691.18,173.46
2022-06-23,Thursday,High,No,178.78,212.32,181.7,148.8,90.9,200,31603.16,158.02
2022-06-24,Friday,High,No,199.89,174.98,198.5,165.0,99.2,200,28878.06,144.39
2022-06-25,Saturday,High,No,187.16,220.98,224.3,159.0,100.0,200,35142.24,175.71
2022-06-26,Sunday,High,No,171.65,212.12,208.6,213.9,100.0,200,45368.6,226.84
2022-06-27,Monday,High,No,163.77,233.93,161.1,135.4,80.5,200,31666.1,158.33
2022-06-28,Tuesday,High,No,186.83,207.98,173.1,166.3,86.6,200,34580.07,172.9
2022-06-29,Wednesday,High,No,196.71,203.01,171.0,144.4,85.5,200,29309.31,146.55
2022-06-30,Thursday,High,No,199.62,165.8,153.0,141.5,76.5,200,23452.84,117.26
2022-07-01,Friday,High,No,197.56,196.32,180.4,159.6,90.2,200,31329.32,156.65
2022-07-02,Saturday,High,No,186.9,184.43,255.9,192.5,100.0,200,35501.9,177.51
2022-07-03,Sunday,High,No,201.12,165.95,272.6,244.6,100.0,200,40587.29,202.94
2022-07-04,Monday,High,Yes,198.84,219.65,312.3,297.1,100.0,200,65259.4,326.3
2022-07-05,Tuesday,High,No,167.39,174.41,165.2,140.9,82.6,200,24571.32,122.86
2022-07-06,Wednesday,High,No,202.76,185.49,183.7,142.3,91.9,200,26393.79,131.97
2022-07-07,Thursday,High,No,185.83,171.87,161.5,115.5,80.8,200,19845.55,99.23
2022-07-08,Friday,High,No,180.36,221.07,148.8,165.7,74.4,200,36626.4,183.13
2022-07-09,Saturday,High,No,202.4,203.7,234.3,215.6,100.0,200,43918.6,219.59
2022-07-10,Sunday,High,No,186.37,202.44,296.7,249.3,100.0,200,50474.18,252.37
2022-07-11,Monday,High,No,212.24,185.94,179.3,184.2,89.7,200,34241.26,171.21
2022-07-12,Tuesday,High,No,185.6,236.25,179.4,142.4,89.7,200,33644.91,168.22
2022-07-13,Wednesday,High,No,204.49,219.45,188.5,130.6,94.2,200,28663.69,143.32
2022-07-14,Thursday,High,No,184.09,195.05,175.3,159.9,87.6,200,31185.12,155.93
2022-07-15,Friday,High,No,197.67,173.29,187.6,170.9,93.8,200,29618.95,148.09
2022-07-16,Saturday,High,No,203.4,221.62,261.9,234.6,100.0,200,52001.44,260.01
2022-07-17,Sunday,High,No,193.95,166.78,260.6,226.9,100.0,200,37845.18,189.23
2022-07-18,Monday,High,No,199.07,174.47,158.4,151.3,79.2,200,26396.86,131.98
2022-07-19,Tuesday,High,No,194.41,213.63,175.2,149.5,87.6,200,31930.02,159.65
2022-07-20,Wednesday,High,No,209.07,189.68,181.9,146.2,91.0,200,27735.68,138.68
2022-07-21,Thursday,High,No,188.48,193.82,182.9,146.7,91.5,200,28436.83,142.18
2022-07-22,Friday,High,No,213.84,182.11,176.3,142.1,88.1,200,25872.49,129.36
2022-07-23,Saturday,High,No,216.7,203.93,272.6,191.2,100.0,200,38999.68,195.0
2022-07-24,Sunday,High,No,199.01,217.79,246.5,235.8,100.0,200,51354.95,256.77
2022-07-25,Monday,High,No,187.24,228.19,214.2,174.3,100.0,200,39766.79,198.83
2022-07-26,Tuesday,High,No,188.32,229.07,199.9,159.5,100.0,200,36528.98,182.64
2022-07-27,Wednesday,High,No,188.7,194.36,151.5,114.8,75.7,200,22322.59,111.61
2022-07-28,Thursday,High,No,179.94,184.64,177.9,155.4,88.9,200,28689.33,143.45
2022-07-29,Friday,High,No,218.26,180.03,199.7,165.5,99.8,200,29788.32,148.94
2022-07-30,Saturday,High,No,194.26,213.5,222.1,197.2,100.0,200,42110.34,210.55
2022-07-31,Sunday,High,No,197.5,209.85,253.1,277.2,100.0,200,58176.32,290.88
2022-08-01,Monday,High,No,185.43,189.38,166.4,132.2,83.2,200,25033.65,125.17
2022-08-02,Tuesday,High,No,185.44,223.78,197.2,156.4,98.6,200,34999.39,175.0
2022-08-03,Wednesday,High,No,182.51,209.43,161.0,147.0,80.5,200,30792.98,153.96
2022-08-04,Thursday,High,No,198.04,169.69,211.0,217.2,100.0,200,36854.19,184.27
2022-08-05,Friday,High,No,185.81,192.25,183.8,162.4,91.9,200,31224.25,156.12
2022-08-06,Saturday,High,No,204.88,240.2,235.4,181.3,100.0,200,43553.31,217.77
2022-08-07,Sunday,High,No,174.31,185.38,246.5,253.8,100.0,200,47049.37,235.25
2022-08-08,Monday,High,No,187.24,204.48,174.7,169.3,87.3,200,34608.68,173.04
2022-08-09,Tuesday,High,No,232.9,189.38,170.2,162.5,85.1,200,30765.65,153.83
2022-08-10,Wednesday,High,No,205.23,236.93,183.3,149.2,91.7,200,35362.08,176.81
2022-08-11,Thursday,High,No,203.86,222.17,191.6,172.5,95.8,200,38334.34,191.67
2022-08-12,Friday,High,No,211.0,223.39,204.5,187.1,100.0,200,41788.08,208.94
2022-08-13,Saturday,High,No,192.49,202.93,272.0,209.0,100.0,200,42413.68,212.07
2022-08-14,Sunday,High,No,200.53,192.13,252.6,247.0,100.0,200,47452.9,237.26
2022-08-15,Monday,High,No,197.87,200.93,152.0,140.5,76.0,200,28233.04,141.17
2022-08-16,Tuesday,High,No,204.68,243.27,163.7,142.7,81.8,200,34714.49,173.57
2022-08-17,Wednesday,High,No,198.74,231.55,169.2,148.5,84.6,200,34390.42,171.95
2022-08-18,Thursday,High,No,204.12,203.73,171.1,148.7,85.5,200,30301.28,151.51
2022-08-19,Friday,High,No,211.1,179.47,182.7,142.5,91.3,200,25569.43,127.85
2022-08-20,Saturday,High,No,212.93,191.63,240.8,213.8,100.0,200,40967.79,204.84
2022-08-21,Sunday,High,No,218.48,198.68,240.9,250.1,100.0,200,49686.73,248.43
2022-08-22,Monday,High,No,173.28,156.02,188.8,151.0,94.4,200,23559.83,117.8
2022-08-23,Tuesday,High,No,179.68,214.17,174.5,138.5,87.3,200,29660.29,148.3
2022-08-24,Wednesday,High,No,175.8,217.45,180.2,151.4,90.1,200,32919.72,164.6
2022-08-25,Thursday,High,No,222.7,178.6,149.5,116.7,74.7,200,20846.49,104.23
2022-08-26,Friday,High,No,194.32,204.87,172.2,152.5,86.1,200,31236.19,156.18
2022-08-27,Saturday,High,No,176.23,228.88,227.8,219.1,100.0,200,50136.12,250.68
2022-08-28,Sunday,High,No,200.14,209.14,260.0,232.6,100.0,200,48652.88,243.26
2022-08-29,Monday,High,No,204.64,226.58,178.1,164.0,89.1,200,37170.85,185.85
2022-08-30,Tuesday,High,No,193.65,228.8,156.7,161.4,78.3,200,36925.49,184.63
2022-08-31,Wednesday,High,No,194.4,171.38,182.6,142.7,91.3,200,24464.17,122.32
2022-09-01,Thursday,Medium,No,177.61,170.95,111.1,73.4,55.5,200,12552.09,62.76
2022-09-02,Friday,Medium,No,158.22,135.52,88.3,81.8,44.2,200,11084.35,55.42
2022-09-03,Saturday,Medium,No,176.79,192.51,144.2,121.9,72.1,200,23459.86,117.3
2022-09-04,Sunday,Medium,No,164.95,160.83,198.1,185.7,99.0,200,29872.34,149.36
2022-09-05,Monday,Medium,Yes,161.69,184.54,188.0,121.4,94.0,200,22408.89,112.04
2022-09-06,Tuesday,Medium,No,161.29,170.36,97.9,80.5,49.0,200,13713.82,68.57
2022-09-07,Wednesday,Medium,No,191.97,196.82,107.7,97.7,53.8,200,19225.35,96.13
2022-09-08,Thursday,Medium,No,185.99,202.49,118.0,92.7,59.0,200,18763.97,93.82
2022-09-09,Friday,Medium,No,175.47,191.87,134.5,122.9,67.3,200,23581.67,117.91
2022-09-10,Saturday,Medium,No,180.74,173.3,194.3,169.0,97.2,200,29293.14,146.47
2022-09-11,Sunday,Medium,No,196.13,170.22,202.7,176.3,100.0,200,30013.11,150.07
2022-09-12,Monday,Medium,No,155.23,174.32,109.2,97.4,54.6,200,16982.58,84.91
2022-09-13,Tuesday,Medium,No,172.84,172.53,119.5,127.2,59.8,200,21943.39,109.72
2022-09-14,Wednesday,Medium,No,190.91,192.73,120.4,103.8,60.2,200,20005.16,100.03
2022-09-15,Thursday,Medium,No,174.2,163.54,114.9,78.5,57.4,200,12831.76,64.16
2022-09-16,Friday,Medium,No,170.99,196.94,104.9,105.6,52.4,200,20806.63,104.03
2022-09-17,Saturday,Medium,No,146.61,154.71,169.7,162.0,84.9,200,25066.36,125.33
2022-09-18,Sunday,Medium,No,190.26,174.82,189.6,160.4,94.8,200,28042.82,140.21
2022-09-19,Monday,Medium,No,162.41,201.67,124.3,86.1,62.2,200,17362.16,86.81
2022-09-20,Tuesday,Medium,No,187.15,211.6,102.8,91.4,51.4,200,19347.89,96.74
2022-09-21,Wednesday,Medium,No,172.41,189.21,105.5,82.6,52.7,200,15624.85,78.12
2022-09-22,Thursday,Medium,No,164.62,207.45,121.5,98.8,60.8,200,20491.35,102.46
2022-09-23,Friday,Medium,No,176.58,158.92,143.0,96.7,71.5,200,15360.28,76.8
2022-09-24,Saturday,Medium,No,159.56,161.61,141.5,136.7,70.7,200,22085.65,110.43
2022-09-25,Sunday,Medium,No,157.98,190.93,156.6,140.5,78.3,200,26832.7,134.16
2022-09-26,Monday,Medium,No,166.15,158.34,139.9,112.0,70.0,200,17738.47,88.69
2022-09-27,Tuesday,Medium,No,141.65,175.44,141.4,132.2,70.7,200,23199.67,116.0
2022-09-28,Wednesday,Medium,No,159.77,177.01,109.7,116.0,54.8,200,20535.06,102.68
2022-09-29,Thursday,Medium,No,170.73,192.6,136.0,118.8,68.0,200,22889.09,114.45
2022-09-30,Friday,Medium,No,161.11,180.07,114.3,96.8,57.2,200,17423.22,87.12
2022-10-01,Saturday,Medium,No,175.91,185.04,180.0,151.6,90.0,200,28048.13,140.24
2022-10-02,Sunday,Medium,No,166.18,144.04,186.3,164.8,93.2,200,23741.97,118.71
2022-10-03,Monday,Medium,No,179.97,161.97,161.8,135.2,80.9,200,21905.94,109.53
2022-10-04,Tuesday,Medium,No,181.62,163.2,132.3,98.5,66.1,200,16072.96,80.36
2022-10-05,Wednesday,Medium,No,155.64,222.28,100.8,87.8,50.4,200,19527.01,97.64
2022-10-06,Thursday,Medium,No,178.05,193.91,119.8,106.2,59.9,200,20594.25,102.97
2022-10-07,Friday,Medium,No,201.05,182.85,124.0,118.4,62.0,200,21658.14,108.29
2022-10-08,Saturday,Medium,No,181.58,207.74,173.5,127.7,86.8,200,26519.0,132.59
2022-10-09,Sunday,Medium,No,189.5,161.07,174.1,134.8,87.0,200,21715.3,108.58
2022-10-10,Monday,Medium,No,164.04,190.58,120.6,107.6,60.3,200,20506.13,102.53
2022-10-11,Tuesday,Medium,No,189.21,193.07,114.4,108.3,57.2,200,20900.22,104.5
2022-10-12,Wednesday,Medium,No,182.84,159.45,131.9,121.4,66.0,200,19358.19,96.79
2022-10-13,Thursday,Medium,No,160.54,211.51,105.6,91.1,52.8,200,19260.02,96.3
2022-10-14,Friday,Medium,No,162.4,184.31,93.2,65.8,46.6,200,12129.84,60.65
